Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Avg: 0.7386	0.8129	1.5055	0.8768	5.8198	
Std: 0.0059	0.0066	0.0074	0.0142	0.0844	
==================================
Detailed results for 20 rounds:
0.7345	0.8077	1.5095	0.8751	5.6773	
0.7389	0.8121	1.5122	0.8759	5.8034	
0.7470	0.8231	1.5009	0.9022	5.8932	
0.7251	0.7984	1.4912	0.8573	5.7013	
0.7343	0.8079	1.4883	0.8755	5.7843	
0.7315	0.8033	1.5128	0.8586	5.7163	
0.7402	0.8143	1.5174	0.8649	5.7802	
0.7521	0.8262	1.5130	0.8956	6.0221	
0.7406	0.8156	1.4946	0.8690	5.9281	
0.7390	0.8126	1.5061	0.8680	5.8702	
0.7386	0.8138	1.5115	0.8816	5.8356	
0.7443	0.8188	1.5023	0.8895	5.9134	
0.7409	0.8160	1.5049	0.8821	5.8199	
0.7441	0.8209	1.5068	0.8927	5.8636	
0.7388	0.8117	1.5051	0.8924	5.7911	
0.7369	0.8094	1.5005	0.8778	5.8283	
0.7443	0.8200	1.5102	0.8956	5.9004	
0.7328	0.8068	1.5103	0.8491	5.7421	
0.7361	0.8121	1.5080	0.8709	5.7994	
0.7328	0.8078	1.5035	0.8628	5.7256	
