Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 31.0763	0.6534	70.2074	0.8354	5.9509	
Std: 0.1939	0.0035	0.4947	0.0084	0.1043	
==================================
Detailed results for 20 rounds:
31.1744	0.6544	70.1418	0.8393	5.9417	
31.1994	0.6562	69.7025	0.8466	6.1711	
31.2223	0.6548	71.4920	0.8246	5.9644	
30.7056	0.6464	69.7182	0.8364	5.9716	
31.1088	0.6533	70.3338	0.8228	5.8667	
30.7860	0.6483	70.2437	0.8243	5.7451	
30.9147	0.6514	69.6191	0.8318	5.8990	
31.2646	0.6579	70.3282	0.8466	6.0833	
31.0320	0.6539	69.8441	0.8323	5.9944	
31.2137	0.6570	71.0985	0.8307	5.9606	
31.3993	0.6595	70.5858	0.8484	6.1532	
31.4463	0.6590	70.3992	0.8442	5.9685	
30.9152	0.6515	69.9016	0.8375	5.9059	
31.1348	0.6546	70.3756	0.8323	5.9284	
30.9806	0.6517	69.9672	0.8422	5.8618	
30.8776	0.6495	69.8815	0.8179	5.7978	
31.2031	0.6559	70.7981	0.8320	6.0431	
31.0437	0.6509	70.1229	0.8363	5.8675	
31.0811	0.6542	70.1729	0.8423	6.0030	
30.8231	0.6487	69.4210	0.8388	5.8909	
