Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 28.4547	0.5983	62.1678	0.8597	5.8010	
Std: 0.0320	0.0007	0.1441	0.0024	0.0250	
==================================
Detailed results for 20 rounds:
28.4779	0.5971	62.1549	0.8583	5.8053	
28.4599	0.5983	62.3155	0.8611	5.8194	
28.4785	0.5975	62.2302	0.8588	5.7949	
28.4380	0.5984	62.1181	0.8620	5.8180	
28.4538	0.5979	62.1939	0.8582	5.7956	
28.4245	0.5987	61.9821	0.8600	5.8360	
28.4169	0.5985	61.9523	0.8621	5.7841	
28.4837	0.5993	62.1379	0.8635	5.8316	
28.4418	0.5987	62.2149	0.8634	5.8172	
28.4253	0.5980	61.9943	0.8586	5.8017	
28.4933	0.5984	62.3426	0.8590	5.8192	
28.4953	0.5976	62.3215	0.8557	5.7641	
28.4702	0.5994	62.0991	0.8600	5.7950	
28.4324	0.5975	62.2439	0.8585	5.7964	
28.4260	0.5976	62.3167	0.8558	5.7406	
28.4589	0.5982	62.2587	0.8549	5.7661	
28.4768	0.6000	62.1169	0.8620	5.8455	
28.5219	0.5980	62.4486	0.8593	5.7790	
28.4335	0.5990	61.9004	0.8593	5.8020	
28.3861	0.5980	62.0130	0.8627	5.8077	
