Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 0.6506	0.7160	1.3652	0.9199	4.7214	
Std: 0.0006	0.0012	0.0026	0.0032	0.0185	
==================================
Detailed results for 20 rounds:
0.6509	0.7157	1.3679	0.9198	4.7264	
0.6498	0.7144	1.3701	0.9160	4.6884	
0.6498	0.7160	1.3634	0.9240	4.7118	
0.6505	0.7163	1.3617	0.9170	4.7454	
0.6507	0.7161	1.3656	0.9200	4.7284	
0.6500	0.7139	1.3668	0.9161	4.6928	
0.6518	0.7171	1.3652	0.9258	4.7300	
0.6512	0.7154	1.3676	0.9191	4.7030	
0.6506	0.7163	1.3626	0.9173	4.7201	
0.6503	0.7149	1.3656	0.9187	4.7149	
0.6495	0.7158	1.3645	0.9206	4.7119	
0.6510	0.7162	1.3681	0.9191	4.7133	
0.6509	0.7170	1.3643	0.9214	4.7447	
0.6506	0.7175	1.3611	0.9182	4.7366	
0.6501	0.7144	1.3687	0.9180	4.7003	
0.6502	0.7142	1.3664	0.9174	4.7132	
0.6518	0.7182	1.3652	0.9273	4.7587	
0.6507	0.7163	1.3661	0.9179	4.7098	
0.6507	0.7180	1.3631	0.9196	4.7293	
0.6507	0.7173	1.3600	0.9253	4.7480	
