Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Avg: 0.7111	0.7827	1.4563	0.8760	5.4917	
Std: 0.0042	0.0049	0.0042	0.0103	0.0561	
==================================
Detailed results for 20 rounds:
0.7096	0.7803	1.4558	0.8808	5.4794	
0.7095	0.7798	1.4575	0.8635	5.4525	
0.7141	0.7868	1.4540	0.8894	5.4751	
0.7000	0.7708	1.4474	0.8558	5.3687	
0.7132	0.7847	1.4506	0.8869	5.5264	
0.7047	0.7738	1.4580	0.8589	5.4183	
0.7167	0.7884	1.4636	0.8762	5.5351	
0.7167	0.7874	1.4611	0.8796	5.6007	
0.7128	0.7849	1.4568	0.8661	5.5294	
0.7096	0.7802	1.4552	0.8717	5.4840	
0.7096	0.7819	1.4594	0.8715	5.4681	
0.7123	0.7836	1.4604	0.8796	5.4707	
0.7127	0.7849	1.4523	0.8804	5.5188	
0.7153	0.7890	1.4536	0.8808	5.5213	
0.7151	0.7857	1.4599	0.8938	5.4814	
0.7084	0.7780	1.4514	0.8855	5.4951	
0.7166	0.7896	1.4604	0.8849	5.6066	
0.7064	0.7777	1.4605	0.8620	5.4337	
0.7114	0.7848	1.4585	0.8819	5.5324	
0.7079	0.7804	1.4505	0.8706	5.4361	
