Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 0.6547	0.7206	1.3702	0.9166	4.7808	
Std: 0.0011	0.0018	0.0028	0.0046	0.0306	
==================================
Detailed results for 20 rounds:
0.6542	0.7194	1.3731	0.9127	4.7666	
0.6545	0.7194	1.3754	0.9153	4.7484	
0.6549	0.7216	1.3690	0.9220	4.7938	
0.6552	0.7215	1.3663	0.9124	4.7970	
0.6565	0.7223	1.3712	0.9237	4.8256	
0.6532	0.7173	1.3722	0.9096	4.7185	
0.6564	0.7221	1.3713	0.9218	4.7927	
0.6543	0.7189	1.3726	0.9107	4.7519	
0.6531	0.7192	1.3669	0.9105	4.7551	
0.6545	0.7196	1.3711	0.9162	4.7958	
0.6535	0.7201	1.3701	0.9184	4.7533	
0.6555	0.7211	1.3731	0.9169	4.7792	
0.6541	0.7205	1.3681	0.9184	4.7701	
0.6565	0.7242	1.3657	0.9232	4.8355	
0.6541	0.7186	1.3728	0.9136	4.7721	
0.6537	0.7180	1.3715	0.9157	4.7653	
0.6566	0.7234	1.3700	0.9252	4.8182	
0.6545	0.7206	1.3708	0.9124	4.7460	
0.6551	0.7228	1.3684	0.9138	4.8221	
0.6543	0.7214	1.3642	0.9193	4.8092	
