Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 28.5884	0.6011	62.5825	0.8563	5.7821	
Std: 0.0616	0.0011	0.1295	0.0037	0.0310	
==================================
Detailed results for 20 rounds:
28.5714	0.5997	62.5429	0.8533	5.7411	
28.6196	0.6019	62.7583	0.8555	5.8016	
28.5783	0.5994	62.6308	0.8539	5.7721	
28.5179	0.6003	62.5176	0.8558	5.7578	
28.5710	0.6000	62.6837	0.8543	5.7881	
28.5025	0.6002	62.4064	0.8496	5.7916	
28.4941	0.6004	62.2960	0.8545	5.7432	
28.6170	0.6022	62.5476	0.8584	5.8102	
28.5899	0.6024	62.4293	0.8606	5.8147	
28.6621	0.6033	62.5473	0.8574	5.8179	
28.6138	0.6010	62.6402	0.8567	5.8041	
28.7053	0.6016	62.7724	0.8586	5.7816	
28.5076	0.6007	62.5752	0.8516	5.7480	
28.5954	0.6012	62.5764	0.8629	5.7725	
28.5358	0.6002	62.7170	0.8548	5.7283	
28.5409	0.6004	62.6227	0.8487	5.7441	
28.6752	0.6028	62.5742	0.8616	5.8467	
28.6831	0.6014	62.8442	0.8590	5.7723	
28.6401	0.6028	62.4722	0.8593	5.8181	
28.5475	0.6008	62.4968	0.8593	5.7888	
