Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 0.6569	0.7229	1.3732	0.9150	4.8091	
Std: 0.0012	0.0021	0.0028	0.0049	0.0362	
==================================
Detailed results for 20 rounds:
0.6559	0.7213	1.3756	0.9104	4.7802	
0.6563	0.7213	1.3788	0.9129	4.7586	
0.6567	0.7235	1.3714	0.9181	4.8162	
0.6564	0.7227	1.3696	0.9086	4.7974	
0.6573	0.7232	1.3740	0.9156	4.8190	
0.6548	0.7190	1.3747	0.9081	4.7534	
0.6594	0.7254	1.3749	0.9199	4.8557	
0.6570	0.7218	1.3759	0.9100	4.7988	
0.6561	0.7226	1.3698	0.9144	4.7965	
0.6570	0.7224	1.3737	0.9150	4.8338	
0.6562	0.7231	1.3734	0.9200	4.7874	
0.6567	0.7224	1.3766	0.9114	4.7939	
0.6564	0.7229	1.3709	0.9161	4.7894	
0.6597	0.7277	1.3692	0.9268	4.8880	
0.6555	0.7201	1.3755	0.9101	4.7782	
0.6561	0.7205	1.3743	0.9150	4.8153	
0.6583	0.7253	1.3731	0.9211	4.8408	
0.6564	0.7227	1.3731	0.9098	4.7635	
0.6586	0.7266	1.3715	0.9202	4.8656	
0.6569	0.7242	1.3675	0.9174	4.8509	
