Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 29.3008	0.6161	64.8313	0.8343	5.7885	
Std: 0.1833	0.0035	0.2292	0.0090	0.0924	
==================================
Detailed results for 20 rounds:
29.3984	0.6171	64.9333	0.8330	5.8054	
29.4623	0.6197	64.7694	0.8383	5.9180	
29.1232	0.6108	64.9203	0.8223	5.7071	
28.9284	0.6090	64.5691	0.8232	5.6406	
29.3269	0.6159	64.8913	0.8274	5.7792	
29.2132	0.6151	64.6087	0.8212	5.7546	
29.0944	0.6130	64.5942	0.8241	5.7155	
29.3070	0.6167	64.9387	0.8361	5.7735	
29.4547	0.6207	64.4367	0.8487	5.8718	
29.1874	0.6143	64.8265	0.8248	5.7052	
29.6022	0.6218	65.2425	0.8410	5.9389	
29.4012	0.6161	64.8098	0.8410	5.8028	
29.0353	0.6119	64.7109	0.8245	5.6688	
29.5269	0.6208	64.9083	0.8525	5.9005	
29.2572	0.6154	65.0381	0.8390	5.7307	
29.2326	0.6149	64.9814	0.8327	5.7023	
29.5685	0.6215	65.1693	0.8423	5.9672	
29.4881	0.6183	65.1990	0.8334	5.7911	
29.3137	0.6170	64.4783	0.8452	5.8753	
29.0948	0.6123	64.5999	0.8359	5.7209	
