Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 29.5505	0.6214	65.7147	0.8308	5.7967	
Std: 0.1991	0.0038	0.3356	0.0094	0.1013	
==================================
Detailed results for 20 rounds:
29.6583	0.6225	65.8888	0.8309	5.8205	
29.8500	0.6278	65.5808	0.8428	6.0144	
29.4107	0.6169	65.8239	0.8202	5.7242	
29.2123	0.6149	65.5894	0.8232	5.6361	
29.5618	0.6208	65.7105	0.8180	5.7485	
29.4069	0.6192	65.4268	0.8224	5.7186	
29.3080	0.6175	65.2866	0.8210	5.7555	
29.4962	0.6207	65.7602	0.8273	5.7489	
29.5970	0.6237	65.1867	0.8395	5.8602	
29.5040	0.6210	66.0223	0.8209	5.7296	
29.7927	0.6258	66.0448	0.8338	5.9175	
29.5858	0.6200	65.7268	0.8300	5.7548	
29.2460	0.6163	65.3938	0.8168	5.6643	
29.8066	0.6266	66.0507	0.8478	5.8894	
29.4900	0.6203	65.8296	0.8339	5.7254	
29.4672	0.6198	65.7807	0.8256	5.7396	
29.8910	0.6283	66.2559	0.8393	6.0102	
29.8508	0.6259	66.4004	0.8398	5.7877	
29.5083	0.6211	65.1463	0.8456	5.8916	
29.3664	0.6180	65.3882	0.8368	5.7967	
