Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 28.4953	0.5992	62.2884	0.8589	5.7989	
Std: 0.0325	0.0008	0.1183	0.0029	0.0293	
==================================
Detailed results for 20 rounds:
28.4871	0.5979	62.3046	0.8561	5.7722	
28.4824	0.5991	62.4476	0.8591	5.7955	
28.5376	0.5985	62.3366	0.8587	5.7979	
28.4614	0.5991	62.2593	0.8582	5.7969	
28.4948	0.5984	62.3455	0.8574	5.7878	
28.4796	0.5997	62.1346	0.8596	5.8363	
28.4549	0.5996	62.0767	0.8614	5.7895	
28.4887	0.5995	62.2821	0.8608	5.7955	
28.5156	0.6009	62.1565	0.8657	5.8622	
28.4991	0.5998	62.1597	0.8587	5.8279	
28.5198	0.5990	62.3811	0.8600	5.7999	
28.5594	0.5985	62.4812	0.8543	5.7584	
28.4964	0.6005	62.2711	0.8592	5.8068	
28.4542	0.5982	62.2401	0.8612	5.8035	
28.4551	0.5985	62.4002	0.8562	5.7369	
28.4701	0.5989	62.3591	0.8518	5.7590	
28.5456	0.6000	62.2482	0.8627	5.8416	
28.5456	0.5986	62.5208	0.8590	5.7792	
28.5069	0.6000	62.1591	0.8583	5.8175	
28.4527	0.5988	62.2043	0.8595	5.8136	
