Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 35.0198	0.7364	79.8372	0.9258	6.9249	
Std: 0.2954	0.0056	1.0782	0.0144	0.1829	
==================================
Detailed results for 20 rounds:
35.1858	0.7385	80.2727	0.9235	6.9704	
35.2864	0.7422	80.7762	0.9350	6.9708	
35.2736	0.7398	82.3883	0.9124	6.7609	
34.6258	0.7289	78.7242	0.9315	6.9863	
35.2112	0.7395	80.3714	0.9128	6.8571	
35.0483	0.7380	79.1456	0.9505	7.1026	
34.7366	0.7319	79.9801	0.9077	6.8016	
34.9248	0.7349	80.4164	0.9167	6.7388	
35.0448	0.7384	79.4651	0.9204	7.0085	
34.6403	0.7291	80.2455	0.8997	6.7643	
35.0733	0.7367	78.5209	0.9487	7.1600	
35.6466	0.7470	80.4424	0.9531	7.2988	
35.0919	0.7395	81.5256	0.9270	6.7469	
35.5374	0.7471	80.8097	0.9313	7.1341	
34.7320	0.7306	78.4726	0.9301	6.8112	
34.5323	0.7264	78.2770	0.9046	6.5440	
35.2257	0.7405	79.7507	0.9391	7.1489	
35.0298	0.7345	79.8486	0.9209	6.8860	
34.8190	0.7328	78.5754	0.9240	7.0347	
34.7313	0.7309	78.7355	0.9263	6.7728	
