Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Avg: 0.6964	0.7664	1.4323	0.8800	5.3074	
Std: 0.0041	0.0047	0.0051	0.0096	0.0587	
==================================
Detailed results for 20 rounds:
0.6956	0.7649	1.4325	0.8879	5.2917	
0.7002	0.7695	1.4382	0.8771	5.3599	
0.7007	0.7720	1.4309	0.8938	5.3221	
0.6879	0.7575	1.4244	0.8631	5.2403	
0.6965	0.7663	1.4280	0.8863	5.3209	
0.6864	0.7538	1.4319	0.8558	5.1380	
0.6991	0.7690	1.4350	0.8760	5.3549	
0.6971	0.7658	1.4384	0.8724	5.3103	
0.7006	0.7716	1.4304	0.8808	5.3751	
0.6966	0.7659	1.4284	0.8815	5.3819	
0.6944	0.7652	1.4381	0.8755	5.2630	
0.6992	0.7692	1.4415	0.8817	5.2999	
0.6950	0.7654	1.4236	0.8745	5.3190	
0.7005	0.7727	1.4291	0.8903	5.3266	
0.7013	0.7705	1.4398	0.8937	5.3343	
0.6935	0.7616	1.4292	0.8857	5.2859	
0.7003	0.7716	1.4328	0.8920	5.4013	
0.6958	0.7661	1.4370	0.8718	5.2943	
0.6951	0.7669	1.4322	0.8819	5.3061	
0.6920	0.7629	1.4258	0.8772	5.2221	
