Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 28.5198	0.5997	62.3520	0.8587	5.7961	
Std: 0.0358	0.0008	0.1250	0.0032	0.0289	
==================================
Detailed results for 20 rounds:
28.5055	0.5983	62.3698	0.8524	5.7710	
28.5236	0.5999	62.4971	0.8584	5.8203	
28.5509	0.5988	62.3868	0.8587	5.7926	
28.4686	0.5993	62.3173	0.8580	5.7677	
28.5082	0.5987	62.4028	0.8547	5.7866	
28.4857	0.5998	62.1847	0.8581	5.8153	
28.4662	0.5998	62.1382	0.8618	5.7832	
28.5072	0.5999	62.3395	0.8605	5.8000	
28.5326	0.6012	62.2186	0.8648	5.8557	
28.5273	0.6004	62.1962	0.8596	5.8207	
28.5404	0.5994	62.4242	0.8592	5.7990	
28.6023	0.5994	62.5614	0.8576	5.7833	
28.4993	0.6006	62.3332	0.8570	5.7854	
28.4909	0.5990	62.3255	0.8618	5.7828	
28.4870	0.5992	62.4779	0.8561	5.7441	
28.5021	0.5995	62.4090	0.8518	5.7692	
28.5884	0.6009	62.3186	0.8631	5.8528	
28.5541	0.5987	62.6325	0.8589	5.7543	
28.5544	0.6010	62.2250	0.8597	5.8138	
28.5022	0.5998	62.2810	0.8619	5.8236	
