Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 0.6521	0.7177	1.3670	0.9183	4.7440	
Std: 0.0006	0.0013	0.0029	0.0037	0.0194	
==================================
Detailed results for 20 rounds:
0.6520	0.7170	1.3693	0.9166	4.7494	
0.6516	0.7162	1.3725	0.9150	4.7181	
0.6522	0.7185	1.3654	0.9241	4.7492	
0.6521	0.7180	1.3638	0.9118	4.7751	
0.6524	0.7178	1.3679	0.9225	4.7461	
0.6515	0.7154	1.3689	0.9149	4.7028	
0.6535	0.7189	1.3675	0.9237	4.7483	
0.6521	0.7164	1.3696	0.9135	4.7152	
0.6513	0.7173	1.3635	0.9155	4.7460	
0.6514	0.7162	1.3677	0.9169	4.7347	
0.6516	0.7179	1.3670	0.9222	4.7342	
0.6532	0.7185	1.3698	0.9180	4.7518	
0.6516	0.7177	1.3655	0.9165	4.7438	
0.6522	0.7195	1.3624	0.9180	4.7669	
0.6525	0.7169	1.3709	0.9202	4.7276	
0.6517	0.7158	1.3684	0.9168	4.7296	
0.6531	0.7196	1.3674	0.9242	4.7626	
0.6526	0.7185	1.3679	0.9165	4.7359	
0.6520	0.7193	1.3643	0.9159	4.7639	
0.6523	0.7191	1.3610	0.9232	4.7787	
