Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 28.6596	0.6026	62.8253	0.8533	5.7775	
Std: 0.0775	0.0014	0.1463	0.0044	0.0385	
==================================
Detailed results for 20 rounds:
28.6408	0.6012	62.7528	0.8483	5.7067	
28.7289	0.6042	62.9632	0.8525	5.7934	
28.6780	0.6015	62.9107	0.8561	5.7885	
28.5566	0.6011	62.7186	0.8538	5.7492	
28.6138	0.6009	62.9135	0.8495	5.7930	
28.5721	0.6016	62.5938	0.8451	5.7872	
28.5203	0.6009	62.5295	0.8473	5.7489	
28.7164	0.6043	62.8362	0.8530	5.7994	
28.6690	0.6041	62.6489	0.8605	5.8168	
28.7328	0.6048	62.8010	0.8582	5.8145	
28.6683	0.6021	62.8575	0.8546	5.7834	
28.7537	0.6026	63.0432	0.8531	5.7462	
28.5441	0.6015	62.7942	0.8480	5.7408	
28.6670	0.6027	62.7942	0.8594	5.7861	
28.6547	0.6027	63.0223	0.8552	5.7354	
28.5899	0.6014	62.8761	0.8462	5.7324	
28.7907	0.6052	62.8885	0.8577	5.8673	
28.7754	0.6034	63.1135	0.8556	5.7583	
28.7240	0.6046	62.6751	0.8574	5.8401	
28.5954	0.6018	62.7724	0.8553	5.7621	
