Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 0.6532	0.7188	1.3683	0.9173	4.7594	
Std: 0.0008	0.0015	0.0028	0.0045	0.0237	
==================================
Detailed results for 20 rounds:
0.6524	0.7174	1.3705	0.9132	4.7512	
0.6530	0.7177	1.3739	0.9152	4.7366	
0.6534	0.7199	1.3669	0.9233	4.7708	
0.6534	0.7194	1.3648	0.9120	4.7850	
0.6544	0.7200	1.3693	0.9218	4.7925	
0.6523	0.7163	1.3701	0.9131	4.7156	
0.6541	0.7196	1.3691	0.9227	4.7568	
0.6524	0.7168	1.3707	0.9108	4.7173	
0.6517	0.7177	1.3650	0.9109	4.7446	
0.6528	0.7177	1.3694	0.9160	4.7553	
0.6530	0.7195	1.3682	0.9231	4.7538	
0.6541	0.7196	1.3709	0.9168	4.7714	
0.6528	0.7190	1.3666	0.9168	4.7555	
0.6536	0.7210	1.3640	0.9190	4.7831	
0.6537	0.7182	1.3719	0.9181	4.7608	
0.6521	0.7162	1.3695	0.9157	4.7284	
0.6545	0.7211	1.3684	0.9250	4.7807	
0.6533	0.7193	1.3692	0.9142	4.7442	
0.6528	0.7201	1.3656	0.9140	4.7818	
0.6535	0.7204	1.3623	0.9244	4.8032	
