Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 30.0107	0.6310	67.1402	0.8265	5.8209	
Std: 0.1938	0.0037	0.4834	0.0093	0.0905	
==================================
Detailed results for 20 rounds:
30.2501	0.6350	67.2285	0.8360	5.9024	
30.2306	0.6358	66.9730	0.8355	5.9619	
29.8251	0.6255	67.5148	0.8084	5.7092	
29.6074	0.6232	66.4430	0.8255	5.6847	
30.0933	0.6320	66.7476	0.8205	5.8301	
29.7192	0.6258	66.5619	0.8115	5.6863	
29.9033	0.6301	66.7984	0.8201	5.8760	
29.9930	0.6311	67.3504	0.8288	5.7889	
30.0530	0.6333	66.7612	0.8351	5.9219	
30.0116	0.6317	68.1302	0.8151	5.7063	
30.1993	0.6343	67.1704	0.8258	5.9409	
30.1106	0.6310	67.1826	0.8269	5.7683	
29.7791	0.6275	66.5807	0.8197	5.8190	
30.3013	0.6370	67.9169	0.8336	5.8807	
30.0152	0.6314	67.5624	0.8320	5.7578	
29.9302	0.6296	67.5853	0.8130	5.7095	
30.2093	0.6350	67.4630	0.8321	5.9655	
30.2472	0.6342	67.6340	0.8376	5.8147	
29.9582	0.6305	66.5269	0.8426	5.8722	
29.7771	0.6267	66.6728	0.8304	5.8221	
