Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 28.4687	0.5986	62.2001	0.8598	5.7999	
Std: 0.0266	0.0007	0.1226	0.0025	0.0246	
==================================
Detailed results for 20 rounds:
28.4991	0.5982	62.2217	0.8607	5.8184	
28.4720	0.5991	62.3073	0.8619	5.8048	
28.4894	0.5974	62.2812	0.8582	5.7893	
28.4383	0.5991	62.1662	0.8620	5.8077	
28.4653	0.5976	62.1995	0.8577	5.7684	
28.4615	0.5993	62.0748	0.8599	5.8381	
28.4326	0.5989	61.9564	0.8631	5.7898	
28.4911	0.5992	62.2431	0.8607	5.8132	
28.4511	0.5992	62.1574	0.8655	5.8300	
28.4494	0.5985	62.0620	0.8594	5.8077	
28.4973	0.5987	62.3243	0.8599	5.7896	
28.5145	0.5976	62.4046	0.8548	5.7543	
28.4780	0.6000	62.1889	0.8604	5.7983	
28.4286	0.5980	62.1883	0.8595	5.7958	
28.4479	0.5986	62.3441	0.8567	5.7491	
28.4722	0.5989	62.2459	0.8546	5.7901	
28.4885	0.5991	62.1186	0.8609	5.8430	
28.5113	0.5977	62.4113	0.8588	5.7767	
28.4615	0.5995	61.9876	0.8596	5.8191	
28.4242	0.5985	62.1190	0.8611	5.8150	
