Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 0.6513	0.7168	1.3660	0.9196	4.7295	
Std: 0.0006	0.0013	0.0028	0.0033	0.0187	
==================================
Detailed results for 20 rounds:
0.6516	0.7166	1.3685	0.9179	4.7393	
0.6502	0.7146	1.3714	0.9142	4.6872	
0.6507	0.7170	1.3641	0.9232	4.7292	
0.6513	0.7172	1.3626	0.9177	4.7550	
0.6519	0.7173	1.3671	0.9219	4.7369	
0.6507	0.7146	1.3674	0.9150	4.6936	
0.6527	0.7180	1.3663	0.9254	4.7440	
0.6517	0.7160	1.3683	0.9169	4.7100	
0.6512	0.7171	1.3629	0.9195	4.7359	
0.6508	0.7156	1.3666	0.9182	4.7180	
0.6508	0.7171	1.3658	0.9221	4.7221	
0.6522	0.7175	1.3692	0.9188	4.7329	
0.6508	0.7168	1.3649	0.9177	4.7347	
0.6511	0.7183	1.3616	0.9192	4.7496	
0.6513	0.7156	1.3695	0.9211	4.7210	
0.6509	0.7148	1.3674	0.9176	4.7130	
0.6525	0.7189	1.3663	0.9272	4.7520	
0.6515	0.7173	1.3666	0.9168	4.7176	
0.6516	0.7189	1.3635	0.9191	4.7434	
0.6513	0.7180	1.3604	0.9236	4.7552	
