Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 0.6503	0.7156	1.3642	0.9213	4.7170	
Std: 0.0006	0.0013	0.0029	0.0037	0.0172	
==================================
Detailed results for 20 rounds:
0.6507	0.7151	1.3672	0.9211	4.7320	
0.6495	0.7138	1.3678	0.9155	4.6847	
0.6491	0.7146	1.3639	0.9235	4.6994	
0.6504	0.7167	1.3611	0.9209	4.7484	
0.6508	0.7160	1.3637	0.9215	4.7263	
0.6495	0.7140	1.3627	0.9178	4.7071	
0.6511	0.7160	1.3635	0.9258	4.7187	
0.6513	0.7146	1.3695	0.9200	4.7002	
0.6505	0.7158	1.3622	0.9191	4.7157	
0.6500	0.7145	1.3627	0.9190	4.7177	
0.6498	0.7162	1.3651	0.9232	4.7129	
0.6508	0.7160	1.3677	0.9207	4.7111	
0.6512	0.7169	1.3671	0.9244	4.7352	
0.6500	0.7168	1.3583	0.9193	4.7263	
0.6495	0.7136	1.3678	0.9152	4.6875	
0.6499	0.7139	1.3653	0.9195	4.7061	
0.6510	0.7176	1.3633	0.9308	4.7442	
0.6501	0.7161	1.3636	0.9199	4.7024	
0.6501	0.7180	1.3623	0.9215	4.7296	
0.6500	0.7166	1.3589	0.9272	4.7339	
