Metric: MAE	| NMAE	| RMSE	| MRE	| NPRE
Average: 28.5474	0.6003	62.4441	0.8579	5.7910	
Std: 0.0453	0.0009	0.1284	0.0035	0.0297	
==================================
Detailed results for 20 rounds:
28.5452	0.5992	62.4437	0.8564	5.7779	
28.5723	0.6010	62.6082	0.8576	5.8164	
28.5597	0.5990	62.4934	0.8549	5.7959	
28.4822	0.5996	62.4162	0.8578	5.7500	
28.5115	0.5988	62.5290	0.8521	5.7637	
28.4939	0.6000	62.2827	0.8541	5.8059	
28.4782	0.6001	62.2114	0.8592	5.7558	
28.5512	0.6008	62.4198	0.8599	5.8006	
28.5622	0.6019	62.2948	0.8641	5.8240	
28.5806	0.6016	62.2913	0.8574	5.8233	
28.5802	0.6003	62.5532	0.8603	5.8195	
28.6420	0.6002	62.6537	0.8599	5.7815	
28.4914	0.6004	62.3873	0.8550	5.7784	
28.5315	0.5998	62.4254	0.8614	5.7823	
28.4962	0.5994	62.5827	0.8561	5.7346	
28.5218	0.6000	62.4858	0.8498	5.7492	
28.6066	0.6013	62.4088	0.8608	5.8376	
28.6029	0.5998	62.6984	0.8590	5.7746	
28.5962	0.6019	62.3224	0.8605	5.8229	
28.5430	0.6007	62.3744	0.8624	5.8257	
